Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.968,4.67,25.8,2.5,0.15,0.75,0.406,0.44,0.36019999999999996,1.11,1.968,0.263,1.4,8.6,7.1579999999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,4.87,20.6,3.27,0.34,0.7,0.424,0.34,0.3628,1.32,2.4219999999999997,0.268,1.19,8.8,6.534000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.956,3.36,32.2,4.17,0.18,0.8,0.399,0.3,0.329,0.79,1.148,0.257,1.09,5.6,6.94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,4.33,19.4,3.44,0.16,0.57,0.366,0.52,0.3584,1.24,1.8479999999999996,0.262,0.78,8.8,6.5120000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.966,4.39,29.8,2.78,0.27,0.35,0.387,0.29,0.3564,0.55,2.05,0.283,1.03,8.2,7.356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,4.22,15.0,2.25,0.09,0.88,0.415,0.16,0.368,1.78,2.216,0.265,1.14,11.6,7.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.96,5.11,13.0,2.27,0.22,0.64,0.451,0.15,0.3992,0.8,2.0199999999999996,0.311,1.51,10.4,7.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.967,4.57,15.4,2.3,0.18,1.02,0.436,0.23,0.37360000000000004,1.5,2.404,0.26,1.07,10.6,7.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.969,4.16,20.4,2.8,0.07,0.52,0.375,0.39,0.35120000000000007,2.25,1.8240000000000003,0.272,1.13,8.2,7.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,3.61,24.8,3.51,0.13,0.67,0.38,0.44,0.33120000000000005,0.72,1.5379999999999998,0.25,0.98,5.8,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
