Rank,College,G,SB,CS,PG
66,Murray St. ,55,71,12,1.29
67,St. John's ,49,63,10,1.29
68,Oklahoma St. ,58,73,13,1.26
69,Utah St. ,51,64,5,1.25
70,Detroit Mercy ,56,70,23,1.25
70,Jackson St. ,36,45,13,1.25
72,Monmouth ,50,62,12,1.24
73,UNLV ,55,68,12,1.24
74,Charleston So. ,56,69,17,1.23
75,UT Arlington ,49,60,7,1.22
76,Liberty ,59,72,23,1.22
77,Wright St. ,60,73,17,1.22
78,Oklahoma ,65,79,23,1.22
79,Delaware St. ,48,58,6,1.21
80,Col. of Charleston ,58,70,13,1.21
81,Penn ,44,53,17,1.20
82,South Dakota St. ,57,68,8,1.19
83,Boston U. ,52,62,13,1.19
84,Prairie View ,38,45,7,1.18
85,Southeast Mo. St. ,49,58,15,1.18
86,Harvard ,46,53,11,1.15
87,SIUE ,54,62,19,1.15
88,South Fla. ,61,70,25,1.15
89,FIU ,56,64,17,1.14
89,Northern Colo. ,42,48,13,1.14
89,Florida ,63,72,14,1.14
92,California ,58,66,13,1.14
93,Holy Cross ,44,50,14,1.14
94,Campbell ,59,67,12,1.14
95,Indiana ,54,61,16,1.13
96,Texas Tech ,55,62,24,1.13
