Rank,College,G,W-L,AB,H,BA
94,Arkansas ,56,36-20,"1,415",401,0.283
95,South Dakota ,48,28-20,"1,350",382,0.283
96,Utah ,55,24-30-1,"1,428",404,0.283
97,Western Ky. ,61,43-18,"1,568",443,0.283
98,Hampton ,60,34-26,"1,632",461,0.282
99,Hawaii ,58,45-13,"1,518",428,0.282
100,Boise St. ,52,25-26-1,"1,410",397,0.282
101,Kansas City ,45,18-27,"1,183",333,0.281
102,Army West Point ,61,35-26,"1,774",498,0.281
103,Iowa ,54,30-24,"1,452",407,0.280
104,Gardner-Webb ,44,13-31,"1,182",331,0.280
105,Columbia ,48,22-26,"1,321",369,0.279
106,Fresno St. ,54,30-24,"1,443",403,0.279
107,Saint Francis ,55,25-30,"1,491",416,0.279
108,Auburn ,53,30-23,"1,350",376,0.279
109,Oregon St. ,58,34-24,"1,501",418,0.278
110,Lehigh ,54,37-16-1,"1,431",398,0.278
111,Col. of Charleston ,57,37-20,"1,495",415,0.278
112,Florida ,67,58-9,"1,726",479,0.278
