Rank,College,G,W-L,IP,R,ER,ERA
136,Indiana St. ,53,27-26,358.0,205,185,3.62
137,Hampton ,49,29-20,310.2,217,162,3.65
138,Princeton ,43,17-26,286.2,188,150,3.66
139,Wagner ,45,21-24,290.1,208,152,3.66
140,Bradley ,59,27-32,380.0,261,199,3.67
141,Nevada ,52,27-25,326.1,229,171,3.67
142,Tennessee Tech ,59,25-34,379.0,269,200,3.69
143,Delaware ,48,23-25,316.1,204,167,3.70
144,UTSA ,54,24-30,368.1,247,195,3.71
145,Texas A&M ,59,37-22,388.1,235,206,3.71
146,UNCW ,52,18-34,348.2,226,185,3.71
147,Loyola Marymount ,47,20-27,316.1,230,168,3.72
148,Manhattan ,55,26-29,370.0,251,197,3.73
149,UC Santa Barbara ,54,34-20,366.1,230,196,3.75
150,UNC Greensboro ,57,31-26,370.0,278,198,3.75
151,Louisiana Tech ,52,19-33,336.0,238,180,3.75
152,Missouri St. ,55,28-27,358.0,244,192,3.75
153,St. John's ,51,28-23,329.1,219,177,3.76
154,Jackson St. ,57,28-29,369.2,271,199,3.77
155,Ball St. ,52,33-19,328.2,218,177,3.77
156,Florida A&M ,53,24-29,343.0,230,185,3.78
157,Long Beach St. ,58,39-19,376.0,236,204,3.80
158,Bryant ,54,32-22,359.1,232,195,3.80
159,North Texas ,53,31-22,356.0,229,194,3.81
160,Toledo ,53,19-34,342.2,262,187,3.82
161,LIU Brooklyn ,56,22-34,375.1,236,205,3.82
162,Drexel ,44,17-27,280.0,205,153,3.83
163,Ole Miss ,53,22-31,339.0,243,186,3.84
164,Northern Ill. ,57,26-31,380.2,270,209,3.84
165,Monmouth ,43,22-21,280.0,205,154,3.85
166,Northwestern ,53,35-18,332.2,219,183,3.85
167,Illinois St. ,53,25-28,348.0,220,192,3.86
168,Army West Point ,51,23-28,332.2,222,184,3.87
169,SFA ,53,26-27,350.0,231,194,3.88
170,Southern Ill. ,52,28-24,340.0,233,189,3.89
171,Niagara ,48,18-30,311.0,224,173,3.89
172,UT Arlington ,54,21-33,352.1,253,196,3.89
173,Nicholls St. ,53,19-34,339.0,241,189,3.90
174,Texas Southern ,51,31-20,313.2,205,175,3.91
175,Weber St. ,47,22-25,310.2,245,174,3.92
176,Georgia St. ,56,30-26,373.0,256,209,3.92
177,Appalachian St. ,51,19-32,335.1,229,188,3.92
178,Western Caro. ,53,19-34,347.1,245,195,3.93
179,La Salle ,42,18-24,268.2,198,151,3.93
180,New Mexico St. ,54,31-23,338.0,250,190,3.93
181,Iowa ,47,16-30-1,305.2,220,172,3.94
182,Towson ,54,29-25,354.0,246,200,3.95
183,UMKC ,56,20-36,369.1,292,209,3.96
184,UC Riverside ,54,23-31,358.1,251,204,3.99
185,Wichita St. ,55,34-21,366.1,253,210,4.01
186,North Carolina ,50,24-26,329.0,219,189,4.02
187,Jacksonville ,49,20-29,322.0,213,185,4.02
188,Boise St. ,52,30-22,341.1,270,197,4.04
189,UC Davis ,54,21-33,357.2,277,208,4.07
