Rank,College,G,AB,TB,SLG PCT
177,UTSA ,53,"1,368",511,0.374
178,Cal St. Fullerton ,56,"1,435",536,0.374
179,Furman ,54,"1,422",531,0.373
180,St. John's ,53,"1,387",517,0.373
181,Quinnipiac ,52,"1,355",504,0.372
182,Yale ,47,"1,232",456,0.370
183,North Florida ,57,"1,457",539,0.370
184,Oklahoma St. ,56,"1,430",529,0.370
185,Pacific ,56,"1,495",553,0.370
186,Youngstown St. ,46,"1,289",476,0.369
187,Wichita St. ,52,"1,310",483,0.369
188,UC Riverside ,55,"1,341",494,0.368
189,Utah Valley ,55,"1,507",555,0.368
190,Pittsburgh ,48,"1,246",458,0.368
191,Robert Morris ,48,"1,255",460,0.367
192,Southern Utah ,52,"1,342",491,0.366
193,N.C. A&T ,44,"1,117",408,0.365
194,Grambling ,45,"1,102",402,0.365
195,Gardner-Webb ,44,"1,182",431,0.365
196,Sacramento St. ,44,"1,225",444,0.362
197,Boston U. ,48,"1,251",453,0.362
198,Stony Brook ,60,"1,605",581,0.362
199,George Washington ,50,"1,256",453,0.361
200,Fairfield ,50,"1,315",474,0.360
201,Belmont ,50,"1,380",496,0.359
202,Tennessee Tech ,50,"1,339",481,0.359
203,Coppin St. ,43,"1,098",394,0.359
204,Miami ,54,"1,448",519,0.358
205,Nicholls St. ,48,"1,287",461,0.358
206,Holy Cross ,44,"1,095",392,0.358
207,Saint Louis ,51,"1,352",484,0.358
208,LIU ,57,"1,562",556,0.356
209,South Dakota St. ,46,"1,180",420,0.356
210,Indiana St. ,50,"1,252",444,0.355
211,IUPUI ,49,"1,262",447,0.354
212,Niagara ,46,"1,198",424,0.354
213,Purdue ,55,"1,473",521,0.354
214,Michigan St. ,49,"1,269",448,0.353
215,Bethune-Cookman ,53,"1,388",489,0.352
216,Army West Point ,61,"1,774",624,0.352
217,Butler ,46,"1,221",428,0.351
218,UTEP ,48,"1,287",450,0.350
219,Fla. Atlantic ,57,"1,407",490,0.348
220,Saint Peter's ,54,"1,327",462,0.348
221,St. Bonaventure ,52,"1,389",482,0.347
222,Georgetown ,54,"1,397",484,0.346
223,Akron ,51,"1,322",455,0.344
224,Towson ,59,"1,494",514,0.344
225,La Salle ,47,"1,160",399,0.344
226,Colgate ,48,"1,297",446,0.344
227,ETSU ,47,"1,277",439,0.344
228,Sacred Heart ,54,"1,457",499,0.342
229,Alabama St. ,47,"1,150",393,0.342
230,Western Caro. ,56,"1,415",483,0.341
231,UMBC ,52,"1,329",453,0.341
232,UMES ,47,"1,268",432,0.341
233,CSUN ,56,"1,389",473,0.341
234,Virginia ,49,"1,211",411,0.339
