Rank,College,G,W-L,PO,A,E,PCT
76,Nevada ,53,30-23,"1,063",359,52,0.965
77,Fairfield ,50,29-21,"1,039",410,53,0.965
78,Southeastern La. ,54,31-23,"1,050",424,54,0.965
79,Bowling Green ,51,28-23,"1,030",520,57,0.965
80,Illinois St. ,48,28-20,970,414,51,0.964
81,Texas St. ,56,18-38,"1,159",436,59,0.964
82,New Mexico St. ,57,37-20,"1,177",523,63,0.964
83,Hawaii ,58,45-13,"1,184",370,58,0.964
84,Wisconsin ,57,44-13,"1,167",439,60,0.964
85,Binghamton ,47,30-17,940,365,49,0.964
86,Iowa St. ,55,21-34,"1,029",508,58,0.964
87,Lipscomb ,59,35-24,"1,210",481,64,0.964
88,Hartford ,55,21-34,"1,091",480,60,0.963
89,Arkansas ,56,36-20,"1,078",309,53,0.963
90,South Dakota ,48,28-20,977,354,51,0.963
91,Furman ,54,27-27,"1,071",490,60,0.963
92,Cornell ,50,21-29,"1,066",442,58,0.963
93,Gardner-Webb ,44,13-31,820,271,42,0.963
94,Purdue ,55,23-32,"1,111",441,60,0.963
95,Coastal Carolina ,59,37-22,"1,189",544,67,0.963
96,SFA ,48,16-32,929,336,49,0.963
