Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
207,Siena,Metro Atlantic,25-22-0,10-11-0,5-5-0,10-6-0,0-0-0
208,Middle Tenn.,Conference USA,23-31-0,11-13-0,7-8-0,5-10-0,0-0-0
209,George Mason,Atlantic 10,22-25-0,7-12-0,3-4-0,12-9-0,0-0-0
210,Morehead St.,OVC,26-27-0,8-14-0,8-6-0,10-7-0,0-0-0
211,Houston Baptist,Southland,15-29-0,3-14-0,5-6-0,7-9-0,0-0-0
212,Loyola Chicago,Missouri Valley,21-28-0,5-16-0,10-6-0,6-6-0,0-0-0
213,Winthrop,Big South,15-43-0,0-23-0,2-8-0,11-12-0,2-0-0
214,Green Bay,Horizon,21-33-0,9-12-0,8-15-0,4-4-0,0-2-0
215,Savannah St.,Mid-Eastern,26-23-0,10-2-0,6-8-0,10-13-0,0-0-0
216,A&M-Corpus Christi,Southland,18-30-0,5-12-0,2-5-0,9-13-0,2-0-0
217,Valparaiso,Horizon,18-34-0,3-16-0,6-12-0,9-6-0,0-0-0
218,Boise St.,Mountain West,14-38-0,5-13-0,4-15-0,5-10-0,0-0-0
219,Eastern Mich.,Mid-American,19-32-0,6-14-0,8-9-0,5-9-0,0-0-0
220,Yale,Ivy League,18-31-1,10-13-1,2-8-0,6-10-0,0-0-0
221,Western Ill.,Summit League,16-32-0,4-16-0,6-13-0,6-3-0,0-0-0
222,Fairfield,Metro Atlantic,27-23-0,8-9-0,9-8-0,10-6-0,0-0-0
223,Florida A&M,Mid-Eastern,27-30-0,5-10-0,13-14-0,9-6-0,0-0-0
224,Buffalo,Mid-American,17-37-0,10-20-0,4-11-0,3-6-0,0-0-0
225,Bethune-Cookman,Mid-Eastern,21-32-0,9-7-0,3-17-0,9-8-0,0-0-0
226,CSU Bakersfield,Western Athletic,16-34-0,3-12-0,8-14-0,5-8-0,0-0-0
227,Belmont,OVC,19-35-0,6-14-0,3-12-0,10-9-0,0-0-0
228,Southern Utah,Big Sky,13-39-0,4-13-0,2-20-0,6-6-0,1-0-0
229,Brown,Ivy League,18-23-0,7-12-0,7-4-0,4-7-0,0-0-0
230,Quinnipiac,Metro Atlantic,28-29-0,8-7-0,9-13-0,11-9-0,0-0-0
231,George Washington,Atlantic 10,23-29-0,9-8-0,0-6-0,14-15-0,0-0-0
232,Alabama St.,Southwestern,28-27-0,7-11-0,7-4-0,13-11-0,1-1-0
233,Seton Hall,Big East,24-30-0,5-15-0,13-10-0,6-5-0,0-0-0
234,Southeast Mo. St.,OVC,16-33-0,5-17-0,3-8-0,8-8-0,0-0-0
235,Incarnate Word,Southland,18-33-0,5-18-0,4-6-0,9-9-0,0-0-0
236,Texas Southern,Southwestern,26-18-0,9-8-0,7-4-0,8-4-0,2-2-0
237,Seattle,Western Athletic,19-33-0,5-9-0,6-14-0,7-10-0,1-0-0
238,IUPUI,Summit League,20-35-0,7-17-0,9-11-0,4-7-0,0-0-0
239,Bowling Green,Mid-American,18-36-0,5-15-0,10-10-0,3-11-0,0-0-0
240,Drexel,Colonial,20-35-0,7-17-0,7-7-0,6-11-0,0-0-0
241,La Salle,Atlantic 10,16-28-0,5-16-0,6-5-0,5-7-0,0-0-0
242,Gardner-Webb,Big South,21-33-0,3-16-0,3-3-0,15-14-0,0-0-0
243,Appalachian St.,Sun Belt,11-45-0,2-14-0,3-14-0,6-17-0,0-0-0
244,South Dakota,Summit League,15-38-0,4-18-0,5-16-0,6-4-0,0-0-0
245,Colgate,Patriot,12-29-0,7-14-0,2-5-0,3-10-0,0-0-0
246,St. Bonaventure,Atlantic 10,15-32-0,6-17-0,3-6-0,6-9-0,0-0-0
247,Canisius,Metro Atlantic,23-32-0,9-13-0,6-16-0,8-3-0,0-0-0
248,Central Conn. St.,Northeast,18-26-1,8-10-0,3-8-0,7-8-1,0-0-0
249,Georgetown,Big East,9-35-0,1-15-0,2-13-0,6-7-0,0-0-0
250,Detroit,Horizon,17-39-0,9-13-0,5-15-0,3-11-0,0-0-0
251,Alcorn,Southwestern,18-28-0,5-17-0,5-6-0,6-3-0,2-2-0
252,Portland St.,Big Sky,14-35-0,5-15-0,3-13-0,6-7-0,0-0-0
253,Utah Valley,Western Athletic,9-43-0,5-19-0,4-15-0,0-9-0,0-0-0
254,South Dakota St.,Summit League,23-34-0,9-12-0,8-13-0,4-9-0,2-0-0
255,UMBC,America East,25-31-0,7-13-0,2-6-0,16-12-0,0-0-0
256,Wagner,Northeast,20-29-0,10-13-0,6-8-0,4-8-0,0-0-0
257,Cornell,Ivy League,9-32-0,3-18-0,1-7-0,5-7-0,0-0-0
258,Mt. St. Mary's,Northeast,15-35-0,4-18-0,0-12-0,11-5-0,0-0-0
