Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.969,4.97,35.0,3.4,0.14,0.38,0.402,0.4,0.384,1.29,1.3,0.309,1.1,6.0,6.5920000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.959,5.17,19.0,2.74,0.13,0.69,0.422,0.39,0.385,1.22,1.99,0.276,1.44,9.0,6.748,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.964,4.19,29.0,1.6,0.19,0.44,0.389,0.31,0.351,1.26,3.35,0.276,1.19,19.0,7.604000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.962,5.32,39.0,2.35,0.21,0.84,0.465,0.49,0.382,0.86,2.4,0.308,1.3,9.0,7.096000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.974,5.4,18.0,2.69,0.16,0.98,0.472,0.1,0.364,1.8,2.05,0.291,1.38,13.0,7.264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961,2.92,19.0,3.96,0.04,0.43,0.328,0.29,0.325,0.84,1.34,0.243,0.78,3.0,6.837999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,5.67,30.0,2.72,0.38,1.16,0.51,0.38,0.382,1.39,2.28,0.301,1.23,14.0,6.514000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.969,4.33,41.0,5.1,0.1,0.81,0.41,0.21,0.365,0.92,1.47,0.265,1.06,5.0,6.627999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.976,5.11,24.0,3.31,0.16,0.91,0.448,0.45,0.382,0.61,1.23,0.28,1.32,7.0,6.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972,3.59,15.0,2.45,0.09,0.66,0.377,0.22,0.303,1.02,2.99,0.251,1.12,11.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.971,5.19,33.0,2.98,0.28,0.74,0.473,0.39,0.399,0.98,1.64,0.308,1.44,13.0,6.462000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.963,4.39,16.0,3.55,0.11,0.5,0.374,0.28,0.376,1.7,1.89,0.261,1.11,9.0,6.7299999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.974,4.04,28.0,2.74,0.07,0.44,0.367,0.25,0.366,0.72,2.77,0.263,1.21,10.0,7.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.957,4.71,12.0,2.92,0.22,0.58,0.401,0.22,0.351,1.05,1.68,0.285,1.02,11.0,6.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.95,4.02,25.0,2.41,0.05,0.59,0.405,0.28,0.354,0.54,3.07,0.274,1.54,12.0,7.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.97,4.7,37.0,1.86,0.19,0.64,0.409,0.3,0.353,0.85,2.9,0.278,1.09,16.0,7.8100000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,5.3,44.0,2.87,0.2,1.23,0.489,0.2,0.383,1.0,1.77,0.273,1.3,16.0,6.832000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.956,4.75,31.0,3.1,0.22,0.68,0.41,0.41,0.338,1.73,1.25,0.27,1.2,6.0,7.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.959,4.65,23.0,3.97,0.13,0.81,0.432,0.24,0.357,0.37,0.85,0.258,1.76,5.0,6.6659999999999995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,5.22,43.0,3.42,0.09,1.27,0.494,0.36,0.373,0.87,2.46,0.288,1.35,10.0,6.454000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.955,4.55,25.0,3.2,0.05,1.04,0.438,0.21,0.361,0.3,3.41,0.265,1.29,8.0,6.9719999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.967,4.07,38.0,2.46,0.12,0.65,0.405,0.53,0.336,0.65,2.12,0.281,1.07,14.0,7.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.968,3.98,31.0,4.02,0.15,0.65,0.415,0.22,0.342,0.33,2.6,0.28,1.31,12.0,6.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,4.38,45.0,3.2,0.1,1.45,0.476,0.2,0.345,0.63,1.86,0.246,1.12,10.0,6.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.968,4.9,28.0,3.29,0.1,0.88,0.451,0.24,0.367,0.61,1.88,0.279,1.63,7.0,6.794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.958,5.63,53.0,3.38,0.24,1.27,0.49,0.29,0.359,1.2,1.67,0.283,1.27,12.0,6.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.972,4.31,23.0,2.55,0.2,0.86,0.439,0.2,0.337,0.41,3.56,0.275,1.47,11.0,6.767999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,5.04,36.0,3.05,0.12,0.64,0.432,0.34,0.38,0.5,1.36,0.297,1.54,11.0,6.548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974,5.52,28.0,1.72,0.14,0.8,0.454,0.36,0.38,2.79,3.41,0.307,1.05,18.0,7.678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,4.11,16.0,2.24,0.18,0.63,0.395,0.2,0.333,0.66,2.32,0.267,1.04,13.0,7.965999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.968,3.31,19.0,1.73,0.2,0.35,0.352,0.37,0.325,0.96,2.44,0.254,1.12,12.0,7.504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,3.95,56.0,3.45,0.17,1.09,0.411,0.41,0.338,1.03,1.75,0.23,0.84,7.0,6.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968,3.38,23.0,2.53,0.12,0.25,0.343,0.48,0.326,2.08,1.44,0.262,1.18,8.0,7.324000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.954,5.86,24.0,3.78,0.22,1.36,0.514,0.22,0.384,0.48,1.47,0.295,1.3,2.0,6.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.966,4.08,19.0,2.98,0.22,0.31,0.364,0.33,0.357,1.02,2.18,0.277,0.94,5.0,6.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,3.7,30.0,3.47,0.34,0.43,0.378,0.25,0.324,1.23,1.71,0.257,1.21,3.0,6.692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961,4.27,31.0,3.59,0.13,0.98,0.426,0.31,0.341,1.09,1.59,0.252,1.15,5.0,6.380000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
