Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
157,Seattle U,WAC,33-23-0,8-6-0,12-13-0,13-4-0,0-0-0
158,ETSU,SoCon,19-27-0,5-14-0,8-8-0,6-5-0,0-0-0
159,Loyola Chicago,MVC,23-27-0,7-9-0,11-8-0,5-10-0,0-0-0
160,Kent St.,MAC,29-23-0,10-8-0,11-8-0,8-7-0,0-0-0
161,Charlotte,C-USA,18-32-0,7-13-0,0-3-0,11-16-0,0-0-0
162,Chattanooga,SoCon,26-30-0,6-6-0,10-11-0,10-13-0,0-0-0
163,Charleston So.,Big South,26-30-0,4-12-0,2-5-0,20-13-0,0-0-0
164,UC Santa Barbara,Big West,20-34-0,5-11-0,6-12-0,9-11-0,0-0-0
165,Harvard,Ivy League,23-18-0,10-10-0,5-7-0,8-1-0,0-0-0
166,Saint Louis,Atlantic 10,28-29-0,7-9-0,16-8-0,5-12-0,0-0-0
167,Northern Colo.,Big Sky,28-28-0,7-11-0,15-9-0,6-8-0,0-0-0
168,George Washington,Atlantic 10,33-21-0,6-8-0,8-6-0,19-7-0,0-0-0
169,Stetson,ASUN,26-25-0,2-7-0,0-5-0,24-13-0,0-0-0
170,Sam Houston St.,Southland,24-33-0,7-14-0,6-5-0,11-14-0,0-0-0
171,Stony Brook,America East,25-22-0,5-6-0,12-10-0,8-6-0,0-0-0
172,Maryland,Big Ten,18-37-0,3-16-0,8-10-0,7-11-0,0-0-0
173,Indiana St.,MVC,26-28-0,7-17-0,12-5-0,7-6-0,0-0-0
174,Purdue,Big Ten,16-40-0,6-11-0,5-19-0,5-10-0,0-0-0
175,Belmont,OVC,25-25-0,5-14-0,5-1-0,15-10-0,0-0-0
176,Dayton,Atlantic 10,31-25-0,13-11-0,9-9-0,9-5-0,0-0-0
177,Fairfield,MAAC,27-26-0,15-14-0,5-6-0,7-6-0,0-0-0
178,San Diego,WCC,25-27-0,8-10-0,6-5-0,11-12-0,0-0-0
179,Southern Miss.,C-USA,19-36-0,3-15-0,2-4-0,14-17-0,0-0-0
180,Saint Joseph's,Atlantic 10,24-25-0,8-11-0,7-8-0,9-6-0,0-0-0
181,Gardner-Webb,Big South,29-29-0,4-10-0,2-4-0,23-15-0,0-0-0
182,Montana,Big Sky,25-30-0,8-10-0,7-14-0,6-6-0,4-0-0
183,Winthrop,Big South,17-32-0,4-18-0,5-4-0,8-10-0,0-0-0
184,Portland St.,Big Sky,18-34-0,7-17-0,4-11-0,7-6-0,0-0-0
185,Columbia,Ivy League,21-19-0,10-8-0,3-7-0,8-4-0,0-0-0
186,LIU Brooklyn,NEC,22-29-0,3-11-0,13-14-0,6-4-0,0-0-0
187,Villanova,Big East,27-24-2,6-12-1,8-8-0,13-4-1,0-0-0
188,UTEP,C-USA,21-33-0,2-15-0,4-10-0,15-8-0,0-0-0
189,Sacramento St.,Big Sky,31-20-0,8-8-0,8-5-0,15-7-0,0-0-0
190,UMass Lowell,America East,21-28-0,6-11-0,6-12-0,9-5-0,0-0-0
191,Pacific,WCC,20-27-0,6-7-0,6-10-0,8-10-0,0-0-0
192,Samford,SoCon,19-38-0,5-14-0,3-12-0,11-12-0,0-0-0
193,Sacred Heart,NEC,31-25-0,9-15-0,12-5-0,10-5-0,0-0-0
194,Bethune-Cookman,MEAC,31-26-0,9-9-0,11-13-0,11-4-0,0-0-0
195,Bowling Green,MAC,26-26-0,8-12-0,13-3-0,5-11-0,0-0-0
196,Evansville,MVC,15-34-0,6-14-0,7-10-0,2-10-0,0-0-0
197,Miami (OH),MAC,24-25-0,9-11-0,7-9-0,8-5-0,0-0-0
198,Florida A&M,MEAC,23-29-0,7-8-0,10-13-0,6-8-0,0-0-0
199,Lehigh,Patriot,24-26-1,6-10-0,6-14-0,12-2-1,0-0-0
200,UTSA,C-USA,20-30-0,5-13-0,4-4-0,11-13-0,0-0-0
201,Georgetown,Big East,16-36-0,5-15-0,4-13-0,7-8-0,0-0-0
202,North Texas,C-USA,25-27-0,9-9-0,3-3-0,13-15-0,0-0-0
203,Butler,Big East,20-28-0,5-11-0,8-13-0,7-4-0,0-0-0
204,South Dakota,Summit League,17-38-0,7-11-0,10-20-0,0-7-0,0-0-0
205,Oakland,Horizon,23-27-0,12-16-0,7-8-0,4-3-0,0-0-0
206,Maine,America East,22-25-0,7-11-0,9-11-0,6-3-0,0-0-0
207,Utah St.,MWC,18-34-0,11-9-0,4-13-0,3-12-0,0-0-0
208,UT Martin,OVC,25-32-0,7-11-0,9-12-0,9-9-0,0-0-0
209,Omaha,Summit League,20-31-0,8-12-0,10-13-0,2-6-0,0-0-0
210,Murray St.,OVC,16-36-0,7-11-0,5-12-0,4-13-0,0-0-0
211,Western Ill.,Summit League,17-31-0,4-12-0,7-14-0,6-5-0,0-0-0
212,Army West Point,Patriot,26-28-0,10-10-0,7-13-0,9-5-0,0-0-0
213,George Mason,Atlantic 10,22-28-0,7-14-0,4-6-0,11-8-0,0-0-0
214,Western Caro.,SoCon,15-37-0,4-16-0,6-9-0,5-12-0,0-0-0
215,New Mexico,MWC,14-39-0,4-15-0,2-14-0,8-10-0,0-0-0
216,Wright St.,Horizon,21-32-0,6-10-0,7-14-0,8-8-0,0-0-0
217,North Dakota,Big Sky,26-27-0,10-15-0,11-11-0,5-1-0,0-0-0
218,Manhattan,MAAC,28-25-0,8-11-0,7-8-0,13-6-0,0-0-0
219,Central Conn. St.,NEC,19-30-0,6-14-0,4-11-0,9-5-0,0-0-0
220,Seton Hall,Big East,19-35-0,6-14-0,10-12-0,3-9-0,0-0-0
221,Utah Valley,WAC,21-31-0,9-13-0,8-12-0,4-6-0,0-0-0
222,Tennessee Tech,OVC,16-33-0,5-18-0,3-8-0,8-7-0,0-0-0
223,Morgan St.,MEAC,28-17-0,9-2-0,4-9-0,15-6-0,0-0-0
224,Virginia,ACC,12-41-0,1-20-0,8-7-0,3-14-0,0-0-0
225,Quinnipiac,MAAC,22-29-0,4-7-0,7-12-0,11-10-0,0-0-0
226,Penn St.,Big Ten,9-41-0,3-15-0,0-11-0,6-15-0,0-0-0
227,Incarnate Word,Southland,15-34-0,4-18-0,3-5-0,8-11-0,0-0-0
228,Penn,Ivy League,17-20-0,6-4-0,1-10-0,10-6-0,0-0-0
229,Bryant,NEC,14-31-0,9-13-0,2-11-0,3-7-0,0-0-0
230,Appalachian St.,Sun Belt,17-35-0,8-18-0,3-7-0,6-10-0,0-0-0
231,Providence,Big East,13-32-0,6-13-0,2-9-0,5-10-0,0-0-0
232,Marist,MAAC,27-32-0,10-13-0,9-13-0,8-6-0,0-0-0
233,Detroit Mercy,Horizon,14-29-1,4-17-1,5-6-0,5-6-0,0-0-0
234,Purdue Fort Wayne,Summit League,19-35-0,5-17-0,11-12-0,3-6-0,0-0-0
235,Binghamton,America East,17-25-0,5-12-0,6-9-0,6-4-0,0-0-0
236,Youngstown St.,Horizon,25-26-0,9-8-0,6-9-0,10-9-0,0-0-0
237,Mt. St. Mary's,NEC,17-26-1,6-17-0,6-5-0,5-4-1,0-0-0
238,Prairie View,SWAC,20-23-0,8-10-0,4-7-0,8-6-0,0-0-0
239,Iona,MAAC,19-27-0,6-9-0,6-13-0,7-5-0,0-0-0
240,Northern Ky.,Horizon,23-22-1,6-7-0,11-9-0,6-6-1,0-0-0
241,Drexel,CAA,21-29-2,8-12-1,4-6-1,9-11-0,0-0-0
242,Siena,MAAC,18-26-0,7-14-0,3-8-0,8-4-0,0-0-0
243,Hampton,MEAC,24-28-0,5-10-0,2-6-0,17-12-0,0-0-0
244,Santa Clara,WCC,9-37-0,1-16-0,5-16-0,3-5-0,0-0-0
245,Idaho St.,Big Sky,13-34-0,3-15-0,4-11-0,6-8-0,0-0-0
246,IUPUI,Horizon,16-33-0,4-15-0,6-13-0,6-5-0,0-0-0
247,Presbyterian,Big South,4-42-0,1-20-0,1-9-0,2-13-0,0-0-0
248,UMKC,WAC,15-41-0,3-14-0,9-15-0,3-12-0,0-0-0
249,Fairleigh Dickinson,NEC,17-26-0,5-13-0,3-9-0,9-4-0,0-0-0
250,Colgate,Patriot,11-32-0,5-12-0,3-11-0,3-9-0,0-0-0
251,Southern Utah,Big Sky,9-38-0,2-13-0,3-16-0,4-9-0,0-0-0
252,Green Bay,Horizon,11-35-0,8-22-0,2-11-0,1-2-0,0-0-0
253,Eastern Mich.,MAC,11-39-0,3-10-0,4-17-0,4-12-0,0-0-0
254,A&M-Corpus Christi,Southland,14-37-1,5-17-1,6-5-0,3-15-0,0-0-0
255,Buffalo,MAC,16-31-0,2-16-0,8-11-0,6-4-0,0-0-0
256,Princeton,Ivy League,10-29-0,6-13-0,1-8-0,3-8-0,0-0-0
257,Wagner,NEC,15-28-0,6-21-0,4-2-0,5-5-0,0-0-0
258,Saint Mary's (CA),WCC,15-34-0,4-16-0,6-11-0,5-7-0,0-0-0
259,Cornell,Ivy League,15-25-0,9-14-0,3-5-0,3-5-0,0-1-0
260,Houston Baptist,Southland,9-34-0,5-16-0,1-3-0,3-15-0,0-0-0
261,Texas Southern,SWAC,24-18-1,7-9-0,5-3-0,9-6-1,3-0-0
262,Niagara,MAAC,16-33-0,7-16-0,5-13-0,4-4-0,0-0-0
263,N.C. Central,MEAC,20-26-0,10-15-0,6-5-0,4-6-0,0-0-0
263,Yale,Ivy League,10-30-0,2-12-0,2-8-0,6-10-0,0-0-0
265,Ark.-Pine Bluff,SWAC,17-29-0,4-16-0,2-8-0,8-3-0,3-2-0
266,UMBC,America East,12-31-0,6-8-0,0-12-0,6-11-0,0-0-0
267,Alcorn,SWAC,14-35-0,5-18-0,0-11-0,6-5-0,3-1-0
268,Delaware St.,MEAC,12-36-0,6-15-0,1-14-0,5-7-0,0-0-0
269,Canisius,MAAC,12-35-0,6-19-0,2-8-0,4-8-0,0-0-0
270,La Salle,Atlantic 10,12-34-0,5-20-0,5-8-0,2-6-0,0-0-0
271,Rhode Island,Atlantic 10,12-35-0,7-13-0,1-12-0,4-10-0,0-0-0
272,Akron,MAC,4-43-1,2-18-0,1-13-1,1-12-0,0-0-0
273,Alabama St.,SWAC,23-31-0,6-11-0,5-10-0,12-10-0,0-0-0
274,Holy Cross,Patriot,12-33-0,7-14-0,3-8-0,2-11-0,0-0-0
275,Cleveland St.,Horizon,15-34-0,4-11-0,4-9-0,7-14-0,0-0-0
276,Norfolk St.,MEAC,21-29-0,9-7-0,4-6-0,7-15-0,1-1-0
277,Savannah St.,MEAC,14-22-0,5-7-0,1-6-0,8-9-0,0-0-0
278,Rider,MAAC,17-33-0,5-16-0,2-11-0,10-6-0,0-0-0
279,Mississippi Val.,SWAC,14-31-0,2-15-0,3-12-0,7-4-0,2-0-0
280,St. Bonaventure,Atlantic 10,10-32-0,4-16-0,2-7-0,4-9-0,0-0-0
281,Alabama A&M,SWAC,22-21-0,6-11-0,3-4-0,5-5-0,8-1-0
282,Hartford,America East,10-32-0,3-15-0,5-1-0,2-16-0,0-0-0
283,Robert Morris,NEC,10-36-0,2-13-0,6-15-0,2-8-0,0-0-0
284,Tennessee St.,OVC,4-48-0,0-19-0,3-11-0,1-18-0,0-0-0
285,Brown,Ivy League,11-28-0,2-12-0,5-5-0,4-11-0,0-0-0
286,Southern U.,SWAC,17-23-0,5-8-0,3-7-0,6-6-0,3-2-0
287,Coppin St.,MEAC,14-26-0,5-12-0,0-4-0,9-10-0,0-0-0
288,N.C. A&T,MEAC,7-37-0,1-11-0,0-10-0,6-16-0,0-0-0
289,CSU Bakersfield,WAC,6-38-0,2-18-0,1-11-0,3-9-0,0-0-0
290,Jackson St.,SWAC,9-31-0,1-14-0,1-4-0,2-12-0,5-1-0
291,Lafayette,Patriot,7-42-0,1-22-0,2-9-0,4-11-0,0-0-0
292,Howard,MEAC,8-37-0,6-17-0,1-10-0,1-10-0,0-0-0
293,Grambling,SWAC,11-28-0,0-11-0,0-6-0,1-8-0,10-3-0
294,Saint Peter's,MAAC,7-41-0,0-20-0,2-8-0,5-13-0,0-0-0
295,South Carolina St.,MEAC,2-31-0,1-11-0,0-5-0,1-15-0,0-0-0
296,UMES,MEAC,4-35-0,4-16-0,0-8-0,0-11-0,0-0-0
